USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  25312 14816 ?        Ss   Apr22   0:04 /sbin/init
root           2  0.0  0.0      0     0 ?        S    Apr22   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Apr22   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I    Apr22   0:00 [kworker/u16:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    Apr22   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    Apr22   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    Apr22   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    Apr22   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    Apr22   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    Apr22   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    Apr22   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    Apr22   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    Apr22   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    Apr22   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    Apr22   0:00 [migration/1]
root          25  0.0  0.0      0     0 ?        S    Apr22   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        S    Apr22   0:00 [cpuhp/2]
root          29  0.0  0.0      0     0 ?        S    Apr22   0:00 [migration/2]
root          30  0.0  0.0      0     0 ?        S    Apr22   0:00 [ksoftirqd/2]
root          33  0.0  0.0      0     0 ?        S    Apr22   0:00 [cpuhp/3]
root          34  0.0  0.0      0     0 ?        S    Apr22   0:00 [migration/3]
root          35  0.0  0.0      0     0 ?        S    Apr22   0:00 [ksoftirqd/3]
root          42  0.0  0.0      0     0 ?        S    Apr22   0:00 [kdevtmpfs]
root          43  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-inet_frag_wq]
root          44  0.0  0.0      0     0 ?        S    Apr22   0:00 [kauditd]
root          45  0.0  0.0      0     0 ?        S    Apr22   0:00 [khungtaskd]
root          46  0.0  0.0      0     0 ?        S    Apr22   0:00 [oom_reaper]
root          48  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-writeback]
root          49  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd0]
root          50  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd1]
root          51  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd2]
root          52  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd3]
root          53  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd4]
root          54  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd5]
root          55  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd6]
root          56  0.0  0.0      0     0 ?        S    Apr22   0:00 [kcompactd7]
root          57  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-kintegrityd]
root          58  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-kblockd]
root          59  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-blkcg_punt_bio]
root          61  0.0  0.0      0     0 ?        S    Apr22   0:00 [watchdogd]
root          63  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-quota_events_unbound]
root          66  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/0:1H-kblockd]
root          67  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-rpciod]
root          68  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-xprtiod]
root          69  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd0]
root          70  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd1]
root          71  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd2]
root          72  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd3]
root          73  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd4]
root          74  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd5]
root          75  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd6]
root          76  0.0  0.0      0     0 ?        S    Apr22   0:00 [kswapd7]
root          77  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-nfsiod]
root          78  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-kthrotld]
root          85  0.0  0.0      0     0 ?        S    Apr22   0:00 [hwrng]
root          86  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-iscsi_conn_cleanup]
root          87  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-nvme-wq]
root          88  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-nvme-reset-wq]
root          89  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-nvme-delete-wq]
root          90  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-DWC Notification WorkQ]
root          91  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-uas]
root          93  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/2:1H-kblockd]
root          94  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/u21:0-hci0]
root          95  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/u22:0]
root          96  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/u23:0]
root          97  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/u24:0]
root          98  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/u25:0]
root         101  0.0  0.0      0     0 ?        S    Apr22   0:00 [irq/38-aerdrv]
root         107  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-sdhci]
root         108  0.0  0.0      0     0 ?        S    Apr22   0:00 [irq/162-mmc1]
root         110  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-sdhci]
root         111  0.0  0.0      0     0 ?        S    Apr22   0:00 [irq/161-mmc0]
root         114  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-mmc_complete]
root         141  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/3:1H-kblockd]
root         160  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/1:1H-kblockd]
root         172  0.0  0.0      0     0 ?        S    Apr22   0:00 [spi10]
root         197  0.0  0.0      0     0 ?        S    Apr22   0:00 [jbd2/mmcblk0p2-8]
root         198  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-ext4-rsv-conversion]
root         215  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-mld]
root         216  0.0  0.0      0     0 ?        I<   Apr22   0:00 [kworker/R-ipv6_addrconf]
root         217  0.0  0.0      0     0 ?        I    Apr22   0:00 [kworker/u16:1]
root         321  0.0  0.0  26992 11456 ?        Ss   Apr22   0:00 /usr/lib/systemd/systemd-journald
systemd+     365  0.0  0.0  92560  8064 ?        Ssl  Apr22   0:00 /usr/lib/systemd/systemd-timesyncd
root         381  0.0  0.0  35200 10592 ?        Ss   Apr22   0:00 /usr/lib/systemd/systemd-udevd
